,precision,recall,f1-score,support
anger,0.1638655462184874,0.1780821917808219,0.17067833698030635,219.0
contempt,0.021739130434782608,0.1111111111111111,0.03636363636363636,9.0
disgust,0.0,0.0,0.0,7.0
fear,0.026486486486486487,0.98,0.05157894736842105,50.0
happy,0.0,0.0,0.0,872.0
neutral,0.0,0.0,0.0,936.0
sad,0.1967799642218247,0.3728813559322034,0.2576112412177986,295.0
surprise,0.4444444444444444,0.011730205278592375,0.022857142857142857,341.0
accuracy,0.0743862220593624,0.0743862220593624,0.0743862220593624,0.0743862220593624
macro avg,0.1066644464757532,0.20672560801284107,0.06738616309841315,2729.0
weighted avg,0.09051380583403441,0.0743862220593624,0.045465143923751256,2729.0
